id,original_title,label,
19995,Avatar,g,
285,Pirates of the Caribbean: At World's End,g,
206647,Spectre,s,
49026,The Dark Knight Rises,b,
49529,John Carter,s,
559,Spider-Man 3,b,
38757,Tangled,g,
99861,Avengers: Age of Ultron,b,
767,Harry Potter and the Half-Blood Prince,g,
209112,Batman v Superman: Dawn of Justice,b,
1452,Superman Returns,b,
10764,Quantum of Solace,s,
58,Pirates of the Caribbean: Dead Man's Chest,b,
57201,The Lone Ranger,s,
49521,Man of Steel,b,
2454,The Chronicles of Narnia: Prince Caspian,s,
24428,The Avengers,b,
1865,Pirates of the Caribbean: On Stranger Tides,g,
41154,Men in Black 3,s,
122917,The Hobbit: The Battle of the Five Armies,b,
1930,The Amazing Spider-Man,b,
20662,Robin Hood,s,
57158,The Hobbit: The Desolation of Smaug,b,
2268,The Golden Compass,s,
254,King Kong,s,
597,Titanic,g,
271110,Captain America: Civil War,b,
44833,Battleship,s,
135397,Jurassic World,g,
37724,Skyfall,s,
558,Spider-Man 2,b,
68721,Iron Man 3,b,
12155,Alice in Wonderland,s,
36668,X-Men: The Last Stand,g,
62211,Monsters University,g,
8373,Transformers: Revenge of the Fallen,b,
91314,Transformers: Age of Extinction,b,
68728,Oz: The Great and Powerful,s,
102382,The Amazing Spider-Man 2,b,
20526,TRON: Legacy,s,
49013,Cars 2,s,
44912,Green Lantern,s,
10193,Toy Story 3,g,
534,Terminator Salvation,s,
168259,Furious 7,b,
72190,World War Z,s,
127585,X-Men: Days of Future Past,g,
54138,Star Trek Into Darkness,s,
81005,Jack the Giant Slayer,s,
64682,The Great Gatsby,s,
9543,Prince of Persia: The Sands of Time,s,
68726,Pacific Rim,s,
38356,Transformers: Dark of the Moon,b,
217,Indiana Jones and the Kingdom of the Crystal Skull,g,
105864,The Good Dinosaur,s,
62177,Brave,b,
188927,Star Trek Beyond,s,
10681,WALL·E,g,
5174,Rush Hour 3,s,
14161,2012,s,
17979,A Christmas Carol,g,
76757,Jupiter Ascending,s,
258489,The Legend of Tarzan,s,
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",g,
246655,X-Men: Apocalypse,g,
155,The Dark Knight,b,
14160,Up,g,
15512,Monsters vs Aliens,b,
1726,Iron Man,b,
44826,Hugo,s,
8487,Wild Wild West,g,
1735,The Mummy: Tomb of the Dragon Emperor,b,
297761,Suicide Squad,s,
2698,Evan Almighty,g,
137113,Edge of Tomorrow,s,
9804,Waterworld,b,
14869,G.I. Joe: The Rise of Cobra,s,
150540,Inside Out,g,
278927,The Jungle Book,s,
10138,Iron Man 2,b,
58595,Snow White and the Huntsman,s,
102651,Maleficent,s,
119450,Dawn of the Planet of the Apes,g,
79698,The Lovers,s,
64686,47 Ronin,s,
100402,Captain America: The Winter Soldier,b,
10192,Shrek Forever After,g,
158852,Tomorrowland,g,
177572,Big Hero 6,g,
82690,Wreck-It Ralph,g,
5255,The Polar Express,g,
47933,Independence Day: Resurgence,s,
10191,How to Train Your Dragon,g,
296,Terminator 3: Rise of the Machines,s,
118340,Guardians of the Galaxy,b,
157336,Interstellar,s,
27205,Inception,g,
315011,シン・ゴジラ,s,
49051,The Hobbit: An Unexpected Journey,b,
9799,The Fast and the Furious,b,
4922,The Curious Case of Benjamin Button,g,
49538,X-Men: First Class,g,
131634,The Hunger Games: Mockingjay - Part 2,g,
27022,The Sorcerer's Apprentice,s,
503,Poseidon,s,
241259,Alice Through the Looking Glass,s,
810,Shrek the Third,s,
